trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
57,False,"{'a': 0.8, 'e': 0.05784432087483848}",30,0,-37.473376365734644,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 1}",0
58,False,"{'a': 0.8, 'e': 0.055023220056407245}",20,9,9.854062084702349,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
59,False,"{'a': 0.8, 'e': 0.05233970594843241}",20,8,10.690989914038948,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
60,False,"{'a': 0.8, 'e': 0.04978706836786396}",20,8,20.731456206929867,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.8, 'e': 0.047358924391140936}",25,14,12.205065908021764,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.8, 'e': 0.04504920239355782}",25,8,31.592347795607296,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.8, 'e': 0.042852126867040194}",20,2,-53.69291016408696,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 2}",1
64,False,"{'a': 0.8, 'e': 0.04076220397836623}",25,11,20.67447594072555,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.8, 'e': 0.03877420783172203}",20,9,-44.29520945296922,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 1}",1
66,False,"{'a': 0.8, 'e': 0.03688316740124002}",30,19,17.27213233262088,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.8, 'e': 0.03508435410084504}",25,8,-78.32857864759816,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 2}",1
68,False,"{'a': 0.8, 'e': 0.033373269960326093}",25,10,27.865341720859636,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.8, 'e': 0.03174563637806796}",25,0,-24.409913054350405,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
70,False,"{'a': 0.8, 'e': 0.030197383422318518}",20,0,-48.772585591079725,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
71,False,"{'a': 0.8, 'e': 0.028724639654239447}",30,20,11.906372366203215,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.8, 'e': 0.02732372244729258}",20,3,4.248219807190024,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
73,False,"{'a': 0.8, 'e': 0.02599112877875536}",30,18,19.614399228909864,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.8, 'e': 0.02472352647033941}",25,7,25.605283686620744,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.8, 'e': 0.023517745856009124}",35,21,21.490503388640523,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.8, 'e': 0.02237077185616561}",20,0,26.21896756777404,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
77,False,"{'a': 0.8, 'e': 0.021279736438377186}",25,11,17.058971807602216,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.8, 'e': 0.020241911445804405}",25,10,27.110430462628333,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.8, 'e': 0.01925470177538694}",25,1,-35.848943491245855,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 1}",1
80,False,"{'a': 0.8, 'e': 0.018315638888734196}",30,18,22.830189987623235,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.8, 'e': 0.017422374639493525}",20,0,22.200136737017242,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
82,False,"{'a': 0.8, 'e': 0.01657267540176126}",25,0,6.699699996386972,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
83,False,"{'a': 0.8, 'e': 0.015764416484854504}",20,0,-0.2651346908651294,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
84,False,"{'a': 0.8, 'e': 0.014995576820477719}",20,8,-20.565998929705042,"{0: 10, 1: 0, 2: 0, 3: 2, 4: 0}",1
85,False,"{'a': 0.8, 'e': 0.014264233908999268}",25,0,34.52525793208756,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
86,False,"{'a': 0.8, 'e': 0.013568559012200944}",25,14,11.721347483408216,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.8, 'e': 0.012906812580479881}",25,6,29.642711346322116,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.8, 'e': 0.012277339903068453}",20,0,-12.727442239729893,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
89,False,"{'a': 0.8, 'e': 0.011678566970395456}",20,2,27.089731034421384,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.8, 'e': 0.011108996538242316}",35,0,29.97031518469634,"{0: 34, 1: 0, 2: 1, 3: 0, 4: 0}",0
91,False,"{'a': 0.8, 'e': 0.010567204383852663}",25,15,20.841960512960924,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.8, 'e': 0.010051835744633591}",20,9,19.83635228304229,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
